"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2023,159.552985638014,245.596320716115,37.9861736003109,73.8116197191428,1045.337,1.3350647739183,0.314768055900161,0.239409570750982,1.42960027488736,65.1193504253227,0.287957767580777,45.55074,0.348221163976596,0.760590429249018,1.0708096736697,206.880428952985,0.914825256830102,193.2,0.651778836023404,271.999779378308,1.56061025075532,0.168586261146168,0.577060561984755,1.62259319120918,45.1432360841369,0.199623389964053,27.82166,0.272003962361779,3.42293943801524,1.03971711734167,267.775296618013,1.18410236164485,257.5463,0.727996037638221,312.91853270215,1.34598364977682,0.25,0.25,0.25,0.25,1,4,242.37900340401,69.7104261227214,0.99585669353314,0.985593969968467,381.487,0.995767497982075,0,3.3,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0
2028,160.93973959616,249.643881810334,38.7973563221968,76.9707763860979,1030.54842661481,1.34196322269816,0.30834545009137,0.235675868380049,1.43522906588092,65.0412962323515,0.287612611939458,45.3177111435032,0.344083667154766,0.764324131619951,1.06949955230162,210.936455242256,0.932761005081255,197.229119720816,0.655916332845234,275.977751474607,1.5824897349843,0.159454358113897,0.550101371383981,1.64211782722246,44.7449307326753,0.19786208369989,27.2483070282225,0.260570086706159,3.44989862861602,1.03767992355335,280.612780120531,1.24086971369299,270.423252634225,0.739429913293841,325.357710853206,1.52341598987678,0.25,0.25,0.25,0.25,1,4,245.923774339023,72.481564035323,0.990946367021679,0.981210558368701,396.275573385188,0.994453110716511,1,3.3,0,0,0,0,0,0,0,0,-3.01598222604593,0,0,2,100,0,0
2033,162.321531549004,253.784741356379,39.5774250485614,80.1960082311318,1014.774406698,1.34908676378198,0.301884263328674,0.231882565779551,1.44106302689401,64.9358442309075,0.287146303189073,45.0610715971714,0.339834058466604,0.768117434220449,1.06817668483692,215.101786078227,0.951180098037919,201.372852573604,0.660165941533396,280.037630309134,1.6050645214469,0.150671120982835,0.523767802060212,1.66237997417622,44.2623572454507,0.195728143739383,26.6258965657865,0.249119456144785,3.47623219793979,1.03570912693132,293.768022410169,1.29904219509777,283.639503381192,0.750880543855215,338.03037965562,1.70551710925811,0.25,0.25,0.25,0.25,1,4,249.54153236847,75.3047178277807,0.986058825996299,0.97681315798278,412.049593301996,0.992877866808701,1,3.3,0,0,0,0,0,0,0,0,-3.21491675605721,0,0,2,100,0,0
2038,163.69757677616,258.022008262182,40.3262110603833,83.4883400700231,997.984350615879,1.35644352061418,0.295388197331571,0.228030638182481,1.44711051539579,64.8022713537604,0.286555643926329,44.7804577911153,0.335471035523873,0.771969361817519,1.06684170288237,219.380029192637,0.97009848908984,205.635033388665,0.664528964476127,284.182300546397,1.62834240595574,0.142238468521514,0.498104283619949,1.6833907198449,43.7015802362796,0.193248387804828,25.9604497762148,0.237692147583359,3.50189571638005,1.03380635036453,307.241639273342,1.35862252886672,297.19457533319,0.762307852416641,350.943219509621,1.89184259785522,0.25,0.25,0.25,0.25,1,4,253.234848016895,78.1813757262559,0.98119389144557,0.972404580360498,428.839649384121,0.991009810694086,1,3.3,0,0,0,0,0,0,0,0,-3.41996261229171,0,0,2,100,0,0
2043,165.067045188098,262.359011954221,41.0436388992624,86.8487180913952,980.146347671087,1.36404236288287,0.288860771322255,0.224121004959993,1.45338060285942,64.6398279265179,0.285837319091062,44.4754992596872,0.330993316731066,0.775878995040007,1.06549520924536,223.775030547174,0.989533185079603,210.019743500924,0.669006683268934,288.414858473692,1.65232989898109,0.134156881344817,0.473151055383949,1.70515963965817,43.0688869395777,0.190450618046812,25.2579793339536,0.226328368501746,3.52684894461605,1.0319728770324,321.033751737861,1.41961125018482,311.087392782108,0.773671631498254,364.102638677439,2.08196916028302,0.25,0.25,0.25,0.25,1,4,257.006480385907,81.1129653313664,0.976351376910141,0.967987270754565,446.677652328913,0.988813505226404,1,3.3,0,0,0,0,0,0,0,0,-3.63144814616965,0,0,2,100,0,0
2048,166.42909840864,266.799164587249,41.7297387092231,90.2779637782443,961.228611289769,1.37189220116704,0.282305962568436,0.220154916852279,1.45988250029594,64.4478228505296,0.284988272645042,44.1458972468437,0.326399930396431,0.779845083147721,1.0641379104379,228.290689520617,1.00950142906017,214.531112256563,0.673600069603569,292.738512371146,1.67703134522789,0.12642567464942,0.448944577506254,1.72769396108669,42.3707818776789,0.187363597463096,24.5244718289276,0.215068087189568,3.55105542249375,1.0302097012098,335.143806787455,1.48200591361413,325.316104472602,0.784931912810432,377.514588665134,2.2754811084388,0.25,0.25,0.25,0.25,1,4,260.859288373929,84.1008124898752,0.97153108491025,0.963563347039937,465.595388710231,0.986249455964283,1,3.3,0,0,0,0,0,0,0,0,-3.8493130771522,0,0,2,100,0,0
2053,167.782878287941,271.34601477675,42.3846424876498,93.7767993058361,941.198997187157,1.38000223826927,0.275727978502785,0.216133833504525,1.46662576725258,64.225600610568,0.284005605899932,43.7914033999835,0.321690147447215,0.783866166495475,1.06277057136657,232.931024843093,1.03002099185616,219.17338616516,0.678309852552785,297.156625453661,1.70244939168716,0.11904280664197,0.425516543014808,1.75099894967557,41.6138823815068,0.184016587891023,23.765795170361,0.203950307494721,3.57448345698519,1.02851747501304,349.570743124897,1.5458018260983,339.878272968055,0.796049692505279,391.184625506404,2.47197851511331,0.25,0.25,0.25,0.25,1,4,264.796268941757,87.1461549471892,0.966732803850579,0.959134635606339,485.625002812843,0.983273124486264,1,3.3,0,0,0,0,0,0,0,0,-4.07362779301563,0,0,2,100,0,0
2058,169.127508200084,276.003252294506,43.0085838491151,97.3458560768482,920.02502095814,1.38838197280317,0.269131254597251,0.212059433271666,1.47362031810111,63.9725465729436,0.282886600945556,43.4118244619332,0.316863507421506,0.787940566728334,1.06139401617686,237.700175955695,1.05111017807608,223.950928997971,0.683136492578494,301.672722528639,1.72858507324815,0.112004885452873,0.402893501343774,1.77507796238593,40.8048439947331,0.18043902014471,22.9876348303521,0.193012474609947,3.59710649865623,1.02689650041373,364.313072860578,1.61099240818948,354.770975179875,0.806987525390053,405.117916855312,2.6710789806428,0.25,0.25,0.25,0.25,1,4,268.82056304527,90.2501439274421,0.961956303499642,0.954702696112657,506.79897904186,0.979833698376257,1,3.3,0,0,0,0,0,0,0,0,-4.30445948716245,0,0,2,100,0,0
2063,170.462094526082,280.774712716113,43.6018962592211,100.985685646993,897.673870202013,1.39704120190802,0.262520450873622,0.207933622534167,1.4808764273687,63.688092516488,0.28162874510791,43.0070270141665,0.311919845381963,0.792066377465833,1.0600091288261,242.602404134783,1.07278783108401,228.868221543951,0.688080154618037,306.290496651272,1.7554379204052,0.105307207767611,0.381096611069061,1.79993253058253,39.9502872258208,0.17666017011258,22.1954359660867,0.182289925160767,3.61890338893094,1.0253467295312,379.368972672622,1.67756959715833,369.990913070033,0.817710074839233,419.319259898442,2.87241897975145,0.25,0.25,0.25,0.25,1,4,272.935461565948,93.4138481238755,0.957201328967615,0.950268837389678,529.150129797987,0.975872465242115,1,3.3,0,0,0,0,0,0,0,0,-4.54187307138168,0,0,2,100,0,0
2068,171.785728415081,285.664381662706,44.1650095174072,104.696773204194,874.112412110776,1.40599002144044,0.255900448047614,0.203758545070534,1.48840473266659,63.3717225391556,0.280229757068146,42.5769423788516,0.306859320125872,0.796241454929466,1.05861685358316,247.64209294141,1.09507333498691,233.929860556444,0.693140679874128,311.013815480565,1.78300609936045,0.0989438225530486,0.360141512322928,1.82556248229864,39.0567267605105,0.172708845734978,21.3943522279953,0.171815398041761,3.63985848767707,1.02386777193496,394.736384270684,1.74552429124496,385.534533941515,0.828184601958239,433.793111031194,3.07565481216393,0.25,0.25,0.25,0.25,1,4,277.144410974732,96.6382603099743,0.952467592551582,0.945834123999805,552.711587889224,0.971320636516125,1,3.3,0,0,0,0,0,0,0,0,-4.78593220659951,0,0,2,100,0,0
