"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2023,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,1045.337,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,1.34598364977682,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996408184061921,0.98711904805174,381.487,0.995767497982075,0,3.3,0,0,0,0,0,0,0,0,0,0,0,13,100,71.1127746982372,262.915444758948
2028,121.536563960502,249.811246051889,25.5439244998313,78.1133694521997,1031.1650819522,1.51163321980424,0.506611498051542,0.33625888207194,1.81246654899221,135.97148937968,1.80379777811084,60.7663112231123,0.698982806447703,0.66374111792806,1.19901211831461,217.399144751223,0.961339018089907,181.315218946086,0.301017193552297,327.280900363568,1.87986059986453,0.327579417323256,0.986997577843564,2.12928999314866,132.64881360772,0.674559011839338,43.6080429740323,0.359190123964684,3.01300242215644,1.13268504765838,283.4554450464,1.25343997799518,250.250893337379,0.640809876035316,376.068238438775,1.5161506737197,0.25,0.25,0.25,0.25,1,4,288.798838306713,82.6886211678353,0.991550592913872,0.982915275415055,395.658918047798,0.994511091931982,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-2.66691726209827,4.68722092845017,9.7511495536898,13,100,71.1127746982372,262.915444758948
2033,123.688608998591,251.678777811781,26.4055860728456,80.8676924579553,1017.41445824922,1.50143443846212,0.513517384940365,0.339287404327106,1.80396933815407,138.649572980298,1.83932523515664,62.2550238181763,0.705210475328553,0.660712595672894,1.20149724286452,218.699809213049,0.967090556340102,182.022730815129,0.294789524671447,330.746874515482,1.88172191910786,0.326931682599467,0.985526796553703,2.13093345293816,137.0768198928,0.697076752200857,45.0289866127249,0.354167293716754,3.0144732034463,1.13243802460911,293.497935599334,1.29784787122025,259.17350814906,0.645832706283246,389.202165678673,1.67553037765627,0.25,0.25,0.25,0.25,1,4,291.831526794626,85.5781437013949,0.986638838421605,0.978406016072588,409.409541750775,0.993153763748155,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-2.78585406645414,4.60082546973044,10.105674019434,13,100,71.1127746982372,262.915444758948
2038,125.89864907311,253.520214556097,27.2667070953604,83.6288907216252,1003.06655837849,1.49098878616662,0.520737846811005,0.3424244671118,1.7952848131911,141.409602249314,1.8759397834394,63.8014519926494,0.71162190250772,0.6575755328882,1.20409008427678,219.960539690744,0.97266550651247,182.677810043473,0.28837809749228,334.239220843364,1.88359354833936,0.326282295272477,0.984050820660151,2.13258637699524,141.498747210011,0.71956357918707,46.4455386733576,0.349140896982893,3.01594917933985,1.13219031721328,303.568794513635,1.34238120933929,268.125234687419,0.650859103017107,402.360209560765,1.83622465698532,0.25,0.25,0.25,0.25,1,4,294.886012386092,88.473088566765,0.98175033103789,0.973890274353071,423.757441621505,0.991595812359731,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-2.90552659555544,4.51011234642817,10.4618195353063,13,100,71.1127746982372,262.915444758948
2043,128.169014115308,255.33360801098,28.1274718601036,86.3961902154581,988.117900744613,1.4802932709933,0.528289972367178,0.34567391131207,1.78641209359656,144.255103478784,1.91368820274955,65.4085550790074,0.718217060946028,0.65432608868793,1.20679606440273,221.178973536532,0.978053420978545,183.277837955163,0.281782939053972,337.758432379518,1.88545495649461,0.325638371402572,0.982585834651225,2.13423063256296,145.916079189255,0.742027037501118,47.8585837322646,0.344117570536895,3.01741416534877,1.13194464031687,313.664679603148,1.38702521320512,277.102491085908,0.655882429463105,415.540065005601,1.99796044885167,0.25,0.25,0.25,0.25,1,4,297.96266139255,91.3729300932771,0.976884938629994,0.969370599244093,438.706099255387,0.98982171785276,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-3.02587829747571,4.41483504202423,10.8193695377182,13,100,71.1127746982372,262.915444758948
2048,130.502135094545,257.116987354676,28.9880778961709,89.1687568130738,972.5652964578,1.46934530378816,0.536191788517737,0.349039613754937,1.77735073121889,147.189756786782,1.95261931353345,67.0794463372637,0.724995020657578,0.650960386245063,1.20962086082601,222.352720706296,0.983243730963241,183.820176972195,0.275004979342422,341.305099486934,1.88728661105558,0.325006599241237,0.981147111047905,2.13584895352402,150.330404876981,0.764475207920911,49.2690661669972,0.339104200346595,3.01885288895209,1.13170354784079,323.781989841315,1.43176395907829,286.101418042797,0.660895799653405,428.739241768836,2.16048309852824,0.25,0.25,0.25,0.25,1,4,301.061923687938,94.2771004960033,0.972042527150493,0.964849211614407,454.2587035422,0.987814878433972,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-3.14684962757271,4.31473940495171,11.1780910071799,13,100,71.1127746982372,262.915444758948
2053,132.900546014739,258.868367359316,29.8487372568641,91.9456959743699,956.405866824702,1.45814275144474,0.544462296510868,0.352525469699633,1.76810075606308,150.217398586452,1.99278400964788,68.8173976724918,0.731953834735856,0.647474530300367,1.21257041144376,223.479373383199,0.988225789100507,184.302182598297,0.268046165264144,344.879921501282,1.88906977293473,0.324393317654333,0.979749182754484,2.13742476055081,154.743426919688,0.786916748914689,50.6779938377189,0.334107907495279,3.02025081724552,1.13146946247001,333.916862489768,1.47658036592975,295.117874203006,0.665892092504721,441.955067286315,2.32355587291964,0.25,0.25,0.25,0.25,1,4,304.184343033787,97.1849904424064,0.967222959855169,0.960328048363531,470.418133175298,0.985557380525692,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-3.26837760202209,4.20956392317599,11.5377340519464,13,100,71.1127746982372,262.915444758948
2058,135.366885283562,260.585757773554,30.709677862493,94.7260528696499,939.637060145175,1.44668399502733,0.553121504661683,0.356135371895562,1.75866272533088,153.342023006955,2.03423527721026,70.6258436291499,0.739090420190896,0.643864628104438,1.21565091711522,224.556517128374,0.992988918741672,184.72121722349,0.260909579809104,348.483719052609,1.89078633095291,0.323804581447972,0.978405985251375,2.13894201635256,159.15696998814,0.809360939480687,52.086441867031,0.329136031753123,3.02159401474862,1.131244700333,344.065171942599,1.52145619033017,304.147433213448,0.670863968246877,455.184691403065,2.48695935621856,0.25,0.25,0.25,0.25,1,4,307.330568031871,100.095950036702,0.962426096372283,0.955808798572955,487.186939854825,0.98302972165129,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-3.39039574611716,4.09904010215204,11.8980315694243,13,100,71.1127746982372,262.915444758948
2063,137.903896560476,262.267173858184,31.5711449133304,97.5088128527453,922.256668078297,1.43496799032552,0.562190458354624,0.35987318661948,1.74903777353689,156.56778239448,2.07702820124517,72.5083847006199,0.746400436267529,0.64012681338052,1.21886884260054,225.581743437438,0.99752246948035,185.074665585958,0.253599563732471,352.117447048999,1.89241866664468,0.323246216825146,0.977130975974247,2.14038510784046,163.572989580034,0.831817723911347,53.4955566110949,0.324196113639689,3.02286902402575,1.13103149190313,354.222529905001,1.56637202723992,313.185382052421,0.675803886360311,468.425092701181,2.6504907541108,0.25,0.25,0.25,0.25,1,4,310.501363685903,103.009290157315,0.957651791581693,0.95129293300671,504.567331921703,0.980210474678914,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-3.51283448479928,3.98289293406109,12.2586989616819,13,100,71.1127746982372,262.915444758948
2068,140.514428975152,263.910648104995,32.4334023720369,100.292902327821,904.262841358569,1.42299433055994,0.57169126638497,0.36374272645792,1.7392276633051,159.898986719833,2.1212199578253,74.4687897827809,0.753878162439768,0.63625727354208,1.22223091543923,226.552663751642,1.00181587910976,185.35995194511,0.246121837560232,355.782208230393,1.89394954448498,0.322723868721282,0.975937234831241,2.1417387508879,167.993581186184,0.854297758406101,54.906559813412,0.319295875113888,3.02406276516876,1.1308319997882,364.384287088134,1.61130731750373,322.226720818283,0.680704124886112,481.673086598061,2.81396313422302,0.25,0.25,0.25,0.25,1,4,313.697623494049,105.924284185747,0.952899894246451,0.946781727978916,522.561158641431,0.977075878014103,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-3.6356210309474,3.86084146613554,12.6194339146532,13,100,71.1127746982372,262.915444758948
2073,143.201436629926,265.514243143447,33.2967345186865,103.077190039078,885.654104705495,1.41076331060097,0.581647122779281,0.367747719704511,1.72923483614511,163.340101749352,2.16686978980691,76.5109976108953,0.761516378942951,0.632252280295489,1.22574412245558,227.46692493686,1.0058587420708,185.57455897171,0.238483621057049,359.479267189553,1.89536202336696,0.322243041532796,0.974837549257932,2.14298791401671,172.420989836681,0.876812459616474,56.3207529525691,0.314443199171736,3.02516245074207,1.13064833398417,374.545536535327,1.65624036255922,331.266164091453,0.685556800828264,494.925335341595,2.97720462578772,0.25,0.25,0.25,0.25,1,4,316.920381983424,108.840170154921,0.948170245318698,0.942276284318968,541.169895294505,0.973599330926394,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-3.75867976138077,3.73259947269371,12.9799162462433,13,100,71.1127746982372,262.915444758948
2078,145.967977296876,267.076065802554,34.1614475807141,105.860488811092,866.429370739007,1.39827599188776,0.592082323188661,0.371891776301381,1.7190624623584,166.895745834012,2.214038964234,78.6391170103776,0.769306253304223,0.628108223698619,1.22941570357476,228.322226202444,1.00964088426721,185.716048313481,0.230693746695777,363.210064714458,1.89663938606732,0.321809134450756,0.973844486509698,2.14411775814245,176.857620039818,0.899374055188488,57.7395217952613,0.309646108669504,3.0261555134903,1.13048256505328,384.70111869002,1.70114834684727,340.298143980566,0.690353891330496,508.178360021681,3.14005759802009,0.25,0.25,0.25,0.25,1,4,320.170827559688,111.756153343501,0.943462675811722,0.937777541912457,560.394629260993,0.969750765610094,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-3.88193240380579,3.5978762335642,13.3398078284277,13,100,71.1127746982372,262.915444758948
2083,148.81721023333,268.594282257156,35.0278714413105,108.641557759799,846.587952733557,1.38553426697859,0.603022274983596,0.37617835035372,1.70871448901561,170.570685192557,2.26279070976446,80.8574257982479,0.77723723698008,0.62382164964628,1.23325314266083,229.116337385264,1.01315244391764,185.782082736825,0.22276276301992,366.976232276539,1.89776508399459,0.321427472423374,0.972970455454224,2.14511359000614,181.306046137937,0.921995636425253,59.1643411742094,0.304912744765191,3.02702954454578,1.13033673561477,394.845628283413,1.74600736826925,349.316814930078,0.695087255234809,521.428554692961,3.30237783306515,0.25,0.25,0.25,0.25,1,4,323.450315517815,114.671409337119,0.938777004087126,0.933286290052941,580.236047266443,0.965495856785106,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-4.00529787145088,3.45637741843784,13.6987525864409,13,100,71.1127746982372,262.915444758948
2088,151.752393035095,270.067134162103,35.8963614316189,111.419104996386,826.129576023782,1.37254092261,0.614493500069465,0.380610699295492,1.69819568490769,174.369827560768,2.31319013242115,83.1703681616053,0.785296976738526,0.619389300704508,1.23726415506682,229.84711849394,1.0163839579802,185.770449707667,0.214703023261474,370.779606455821,1.89872269504635,0.32110333358896,0.972227759706392,2.14596082738806,185.769023115704,0.944691213250292,60.5967800163753,0.300251345401553,3.02777224029361,1.13021287046642,404.97342312694,1.79079247706733,358.316060371721,0.699748654598447,534.672202718727,3.46403370647486,0.25,0.25,0.25,0.25,1,4,326.760381030463,117.585087580726,0.934113032342742,0.928803173580849,600.694423976218,0.960795013976031,1,3.3,0.05,2,0,0.19,0.15,0.05,0.15,0.15,-4.12869329759766,3.30780607509467,14.0563765781243,13,100,71.1127746982372,262.915444758948
