"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2023,120.124979789264,246.506398106631,24.8245156001451,75.1125940894952,1045.337,1.61871563587981,0.381644384388694,0.27622475703656,1.90269291002036,86.669070044181,0.383250627735368,45.55074,0.349563574314308,0.72377524296344,1.17543370055001,227.093790946262,1.00420874356437,193.2,0.650436425685692,313.762860990443,2.0997008564004,0.226821986293263,0.739543271403495,2.32567058853324,64.7040163861718,0.286121160459652,27.82166,0.273822637161906,3.26045672859651,1.10761996474118,285.263423725222,1.26143485971293,257.5463,0.726177362838094,349.967440111394,1.34598364977682,0.25,0.25,0.25,0.25,1,4,279.594085428584,77.9639964708158,0.996408184061921,0.98711904805174,381.487,0.995767497982075,0,3.3,0,0,0,0,0,0,0,0,0,0,0,11,100,128.228645064545,352.632373369355
2028,121.536563960502,249.811246051889,25.5087189371526,78.1764357122619,1031.06072441941,1.51163321980424,0.506611498051542,0.33625888207194,1.81246654899221,135.97148937968,1.80379777811084,60.7663112231123,0.698982806447703,0.66374111792806,1.19901211831461,217.399144751223,0.961339018089907,181.315218946086,0.301017193552297,327.280900363568,2.00718628589706,0.287337649776348,0.892812075608191,2.24249788991946,96.888950697634,0.492709380982678,36.7249434049397,0.315461727152982,3.10718792439181,1.11723456147332,286.61614013023,1.26741657165588,256.540703281023,0.684538272847018,368.751622128229,1.51738099000926,0.25,0.25,0.25,0.25,1,4,288.798838306713,81.7469794342686,0.991550558799618,0.982775778824748,395.763275580588,0.994501298910897,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-2.72792295611633,6.85403929873228,12.6838595558679,11,100,128.228645064545,352.632373369355
2033,123.688608998591,251.678777811781,26.2623768167136,81.1206591959606,1016.96044597841,1.50143443846212,0.513517384940365,0.339287404327106,1.80396933815407,138.649572980298,1.83932523515664,62.2550238181763,0.705210475328553,0.660712595672894,1.20149724286452,218.699809213049,0.967090556340102,182.022730815129,0.294789524671447,330.746874515482,2.01777404878051,0.284330096824967,0.8855358837354,2.25197959847156,99.5636201837408,0.506310877720377,37.5798596104593,0.307918241485829,3.1144641162646,1.11607124684381,297.64375316299,1.31618067648674,266.688846258436,0.692081758514171,382.046149462931,1.68070096805807,0.25,0.25,0.25,0.25,1,4,291.831526794626,84.6975666263679,0.986638676420396,0.978284348915368,409.863554021586,0.993106665622183,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-2.85965860751482,6.83997532267933,13.1897753731802,11,100,128.228645064545,352.632373369355
2038,125.89864907311,253.520214556097,27.0086756997105,84.0780737903506,1002.19702853285,1.49098878616662,0.520737846811005,0.3424244671118,1.7952848131911,141.409602249314,1.8759397834394,63.8014519926494,0.71162190250772,0.6575755328882,1.20409008427678,219.960539690744,0.97266550651247,182.677810043473,0.28837809749228,334.239220843364,2.02832940120778,0.281378509872005,0.878361882001944,2.26144205316075,102.20100959951,0.519722794116389,38.4139217886069,0.300378747430706,3.12163811799806,1.11492839960519,308.73309478787,1.36521774515196,276.908449813634,0.699621252569294,395.370783811038,1.8457876350152,0.25,0.25,0.25,0.25,1,4,294.886012386092,87.6550149608129,0.98174999464156,0.973784343312682,424.626971467151,0.991496810673854,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-2.99266341480083,6.8214943821037,13.6994113179182,11,100,128.228645064545,352.632373369355
2043,128.169014115308,255.33360801098,27.7475931652884,87.0475275495385,986.764342767238,1.4802932709933,0.528289972367178,0.34567391131207,1.78641209359656,144.255103478784,1.91368820274955,65.4085550790074,0.718217060946028,0.65432608868793,1.20679606440273,221.178973536532,0.978053420978545,183.277837955163,0.281782939053972,337.758432379518,2.03884446805227,0.278483650257863,0.871293583462548,2.27087797226257,104.801441146053,0.532946768660022,39.2276582283237,0.292854487545801,3.12870641653745,1.113806377998,319.879550888031,1.41450737402687,287.194935499467,0.707145512454199,408.7211855028,2.01233205393266,0.25,0.25,0.25,0.25,1,4,297.96266139255,90.6183563675722,0.976884373903556,0.969278496061626,440.059657232762,0.989653558246095,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-3.12687518693115,6.79837419558071,14.2125312073686,11,100,128.228645064545,352.632373369355
2048,130.502135094545,257.116987354676,28.4791162513878,90.0277859740307,970.656583282844,1.46934530378816,0.536191788517737,0.349039613754937,1.77735073121889,147.189756786782,1.95261931353345,67.0794463372637,0.724995020657578,0.650960386245063,1.20962086082601,222.352720706296,0.983243730963241,183.820176972195,0.275004979342422,341.305099486934,2.04931060095696,0.275646399401668,0.864334817331693,2.28027935551646,107.365297914376,0.545984749483978,40.0216328786393,0.285356838334388,3.13566518266831,1.11270558716265,331.078161823679,1.46402763158431,297.543362452158,0.714643161665612,422.092720985856,2.18004440205189,0.25,0.25,0.25,0.25,1,4,301.061923687938,93.5865570550953,0.972041671943298,0.964769184613364,456.167416717156,0.987557354850857,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-3.26222787594766,6.77038656861719,14.728880547646,11,100,128.228645064545,352.632373369355
2053,132.900546014774,258.868367359725,29.2032425068468,93.0175334604973,953.868290454678,1.45814275144604,0.544462296509902,0.352525469699228,1.76810075606415,150.217398586454,1.99278400964789,68.8173976724508,0.731953834735514,0.647474530300772,1.21257041144341,223.479373383598,0.988225789102269,184.302182598678,0.268046165264486,344.879921501681,2.05971842595998,0.272867736861801,0.857489679279779,2.28963752463988,109.893027519544,0.558839012845136,40.7964458943359,0.277897236895381,3.14251032072022,1.11162647077488,342.323627065229,1.51375507888244,307.948430579029,0.722102763104619,435.480470536092,2.34865378145479,0.25,0.25,0.25,0.25,1,4,304.184343034143,96.5585192129527,0.967221742783298,0.960258477692991,472.955709545323,0.98518697625629,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-3.39865113845847,6.73729780192897,15.248186703576,11,100,128.228645064545,352.632373369355
2058,135.36688528372,260.58575777625,29.9199809938983,96.0153755479828,936.394371183759,1.44668399503623,0.553121504654878,0.356135371892741,1.7586627253382,153.342023006872,2.03423527720916,70.6258436288175,0.739090420188431,0.643864628107259,1.2156509171128,224.556517131015,0.992988918753348,184.721217226029,0.260909579811569,348.483719055181,2.07005789294439,0.270148720090687,0.850762484164526,2.29894316592241,112.385145290776,0.571512179347182,41.5527338444797,0.270487103600515,3.14923751583547,1.11056950327726,353.610313108615,1.5636648045663,318.40448712586,0.729512896399485,448.879238873826,2.51790785061577,0.25,0.25,0.25,0.25,1,4,307.330568034165,99.533083363533,0.962424435505638,0.955748174209491,490.429628816241,0.982519168547396,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-3.53607036160148,6.69886920704279,15.7701592402346,11,100,128.228645064545,352.632373369355
2063,137.903896560471,262.26717386454,30.6293532341327,99.019841790718,918.23011872759,1.43496799034886,0.562190458336342,0.359873186611988,1.74903777355603,156.567782393772,2.07702820123578,72.5083846994988,0.746400436260465,0.640126813388012,1.21886884259406,225.581743443755,0.997522469508283,185.074665592124,0.253599563739535,352.117447054741,2.0803183247608,0.267490466375258,0.844157722590913,2.30818637296376,114.84223704909,0.584007228065739,42.2911696538551,0.263137762738545,3.15584227740909,1.10953518290484,364.932263996217,1.61373047139127,328.905535956778,0.736862237261455,462.283568035701,2.68757231023775,0.25,0.25,0.25,0.25,1,4,310.501363691034,102.509031217967,0.957649592748301,0.951239834666276,508.59388127241,0.979528206320446,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-3.6744071202537,6.65485771918767,16.2944904017793,11,100,128.228645064545,352.632373369355
2068,140.514428975009,263.910648109765,31.3313940847863,102.02938928901,899.371231322241,1.42299433057814,0.571691266370342,0.363742726451998,1.73922766332,159.898986719111,2.12121995781572,74.4687897818067,0.753878162434073,0.636257273548002,1.22223091543406,226.552663756416,1.00181587913087,185.359951949799,0.246121837565927,355.78220823458,2.09048846740525,0.264894136490191,0.837680020322382,2.31735669079112,117.264961415837,0.596327508287954,43.0124622590721,0.255860362261152,3.16231997967762,1.10852402532862,376.283214585809,1.66392437489845,339.44524970874,0.744139637738848,475.687752596745,2.85743027795113,0.25,0.25,0.25,0.25,1,4,313.697623497795,105.485089057541,0.952897048836672,0.946734806149374,527.452768677759,0.976185344812811,1,3.3,0.05,2,0,0.19,0,0.05,0.15,0.15,-3.81357953198099,6.60501661507185,16.8208557356556,11,100,128.228645064545,352.632373369355
