"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2023,159.552985638014,245.596320716115,37.9861736003109,73.8116197191428,1045.337,1.3350647739183,0.314768055900161,0.239409570750982,1.42960027488736,65.1193504253227,0.287957767580777,45.55074,0.348221163976596,0.760590429249018,1.0708096736697,206.880428952985,0.914825256830102,193.2,0.651778836023404,271.999779378308,1.56061025075532,0.168586261146168,0.577060561984755,1.62259319120918,45.1432360841369,0.199623389964053,27.82166,0.272003962361779,3.42293943801524,1.03971711734167,267.775296618013,1.18410236164485,257.5463,0.727996037638221,312.91853270215,1.34598364977682,0.25,0.25,0.25,0.25,1,4,242.37900340401,69.7104261227214,0.99585669353314,0.985593969968467,381.487,0.995767497982075,0,3.3,0,0,0,0,0,0,0,0,0,0,0,10,100,263.768148223044,1082.74318973432
2028,161.78510116826,248.339424848527,39.1220721791192,76.5120195934709,1035.10849007489,1.24305929152267,3.18045253609926,0.760791447489297,1.35666947697664,265.77623172715,3.52578749009237,158.68179490464,0.961818357197152,0.239208552510703,1.09139562869507,67.6880869170352,0.299316720347129,62.0197526335765,0.0381816428028479,257.202841799062,1.556972139863,1.29220949967246,2.25495880696264,1.61935792124381,186.684339288382,0.934486543913211,112.977279514643,0.576499809366164,1.74504119303736,1.04006865619722,141.579714859694,0.626065499109566,136.125354817776,0.423500190633836,295.978354482991,1.46942073133619,0.25,0.25,0.25,0.25,1,4,220.88857749871,65.0575997465664,0.990487160562605,0.979641814189744,391.71550992511,0.994875387233519,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,-0.340058985074013,25.7365590111812,70.2742905432969,10,100,263.768148223044,1082.74318973432
2033,165.729214283292,248.566436633481,40.9255035433037,78.2952017760421,1033.53477697666,1.22390904495517,3.38422880738358,0.77190971458518,1.3420406402444,271.800422958339,3.60570441096532,164.047448336708,0.965042350753626,0.228090285414821,1.09651991361298,65.0542132718453,0.2876697310881,59.3278904142238,0.0349576492463737,259.501476421769,1.53416175739076,1.37079238874365,2.31280038733391,1.59914966043672,196.580165879362,0.984022122662988,120.469376524249,0.58966063245281,1.68719961266609,1.04236052862931,140.538103467543,0.621459493533475,134.826770208143,0.41033936754719,303.503909652905,1.48812561707775,0.25,0.25,0.25,0.25,1,4,222.818006536302,66.6979325302569,0.985587912560583,0.975132299319276,393.289223023341,0.994731353818261,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,-0.303424891447905,24.2280330286333,69.7261555033418,10,100,263.768148223044,1082.74318973432
2038,169.782626460987,248.774391288092,42.8032864926988,80.0046927070352,1032.16222899694,1.20492878832656,3.60255626486687,0.782729435024316,1.32774904992595,277.875118313971,3.68629131955314,169.519116467731,0.968016086948769,0.217270564975684,1.10193155212929,62.4775379719528,0.276275672911975,56.6982022170302,0.0319839130512306,261.932849519885,1.51043588977382,1.45897251185637,2.37330430465843,1.57827626249002,206.881431031964,1.03558720684243,128.459007608376,0.603744283832161,1.62669569534157,1.0449144337575,138.963414844161,0.614496220440882,132.990233797853,0.396255716167839,310.90795847693,1.50437848327228,0.25,0.25,0.25,0.25,1,4,224.868445250348,68.311363690255,0.980714687278831,0.970620072207938,394.661771003059,0.994604269792996,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,-0.261656982946924,22.7460547287699,68.9103621464741,10,100,263.768148223044,1082.74318973432
2043,173.947595742911,248.964744399389,44.7602487887984,81.6383525162409,1031.01609156209,1.18612939368481,3.83643656686924,0.793236200625427,1.31380625237102,284.002984922333,3.76758359797967,175.096150876077,0.970756811741628,0.206763799374573,1.10764159405036,59.9625234973761,0.265154278905397,54.1353121979725,0.0292431882583717,264.503096823193,1.48585274487596,1.55794891000927,2.43624711019521,1.55681543209124,217.585687498194,1.08916954625246,136.968049874606,0.618677222169569,1.56375288980479,1.04775889633747,136.868399456668,0.605232062397388,130.629670561713,0.381322777830431,318.211257161386,1.51790708711015,0.25,0.25,0.25,0.25,1,4,227.045252956287,69.9028017730003,0.97586734172925,0.96610842887476,395.80790843791,0.994497108123881,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,-0.214884022905994,21.2927799572537,67.8332924648277,10,100,263.768148223044,1082.74318973432
2048,178.226460029473,249.138854247814,46.8010805091373,83.1944693329614,1030.12067122454,1.16752039270307,4.08694125548542,0.803418213465377,1.30022208159939,290.187570853916,3.84962831494804,180.77829604504,0.973281214801595,0.196581786534623,1.11366113151059,57.5129216932564,0.25432213972758,51.6431076437451,0.0267187851984052,267.218133147976,1.46048281421102,1.66905439858605,2.50134189767019,1.53485728686341,228.685053296215,1.14472968602508,146.01445629403,0.63436016666547,1.49865810232981,1.05092457913828,134.274444511904,0.593761593631637,127.76791710591,0.36563983333453,325.439196356081,1.52844908448344,0.25,0.25,0.25,0.25,1,4,229.353549509589,71.4782267611942,0.971045718979282,0.961600404911042,396.703328775464,0.994412730286919,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,-0.163319112983763,19.8699907282436,66.5056618295234,10,100,263.768148223044,1082.74318973432
2053,182.621639965382,249.297984607658,48.9302351336518,84.6718342123328,1029.49890493471,1.14911007051766,4.35521673607056,0.813266194575393,1.28700473563329,296.433265221581,3.93248369642949,186.565704213458,0.975605268266895,0.186733805424607,1.12000126763619,55.1318015567045,0.243792826483747,49.2247671050076,0.0243947317331049,270.083663328049,1.43440873275372,1.79376114729615,2.56823837504102,1.51250376077269,240.166107645803,1.20220044570703,155.61137208191,0.650669071036895,1.43176162495898,1.05444405505608,131.211887294841,0.580218965617786,124.437030742102,0.349330928963105,332.621788006097,1.53575529876678,0.25,0.25,0.25,0.25,1,4,231.798227555894,73.0446810892653,0.966249648944104,0.957098798335338,397.325095065289,0.994353800759054,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,-0.107262606140085,18.4791104399579,64.9426759472706,10,100,263.768148223044,1082.74318973432
2058,187.13564145559,249.443308356627,51.1518312439156,86.069805835342,1029.17191956527,1.13090555990997,4.64248958841318,0.822773266245188,1.27416085473644,302.745250221197,4.0162184894344,192.458944070994,0.977744113244891,0.177226733754812,1.12667308385845,52.8215837664352,0.233577043415176,46.8827954827324,0.0222558867551088,273.105195363193,1.40772447637372,1.93368464202083,2.63652693179569,1.48986728051687,252.010151379674,1.26148822280184,165.766408579964,0.667458147581373,1.36347306820431,1.0583514782344,127.719868578973,0.564777258856221,120.678121782418,0.332541852418627,339.79342883845,1.53959303285126,0.25,0.25,0.25,0.25,1,4,234.38396714194,74.6102074162383,0.961478949303881,0.952606178946277,397.652080434731,0.994322698562889,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,-0.0471024456268108,17.1212221963816,63.1639568463809,10,100,263.768148223044,1082.74318973432
2063,191.77105765979,249.575911924304,53.4695627587395,87.3883570125638,1029.15860852386,1.1129129356597,4.95007220479601,0.831934812623962,1.26169560130349,309.129446608468,4.10091123870793,198.459003498284,0.979711987304866,0.168065187376038,1.13368760563071,50.5840806746732,0.223682804743405,44.6190647436175,0.0202880126951339,276.288055216318,1.38053383734606,2.09058616515067,2.70574713460383,1.46706868172169,264.193878724172,1.3224763555051,176.481172541862,0.684564985444615,1.29425286539616,1.06268216108486,123.845649352142,0.54764546143517,116.540630761799,0.315435014555385,346.992415353448,1.53974919389566,0.25,0.25,0.25,0.25,1,4,237.115252095184,76.1837276864843,0.956733426539528,0.948124886242182,397.665391476145,0.99432143081902,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,0.0166897911313466,15.7970894859315,61.1931993844227,10,100,263.768148223044,1082.74318973432
2068,196.530570635429,249.696800214689,55.8866259911757,88.6280971938623,1029.47525365996,1.09513730646643,5.27936878765204,0.840748324582172,1.24961273945641,315.592454447866,4.1866495007054,204.567287153277,0.981522186433525,0.159251675417828,1.1410557672338,48.4205401033296,0.214115628336923,42.4348585702457,0.0184778135664755,279.637402672619,1.35294821170513,2.26637412634766,2.77540053733139,1.44423443158094,276.690459374089,1.38503053925072,187.751132542785,0.701817468627248,1.22459946266861,1.06747207253466,119.643375307847,0.5290630056113,112.081035547618,0.298182531372752,354.260216086637,1.53603299297981,0.25,0.25,0.25,0.25,1,4,239.996387565994,77.7748653724436,0.952012877079109,0.943657018976776,397.348746340037,0.994351553669861,1,3.3,0.5,2,0.066,0.19,0.01,0.5,0.066,0.01,0.083571573064023,14.5071783353394,59.0575505055084,10,100,263.768148223044,1082.74318973432
