"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2023,159.552985638014,245.596320716115,37.9861736003109,73.8116197191428,1045.337,1.3350647739183,0.314768055900161,0.239409570750982,1.42960027488736,65.1193504253227,0.287957767580777,45.55074,0.348221163976596,0.760590429249018,1.0708096736697,206.880428952985,0.914825256830102,193.2,0.651778836023404,271.999779378308,1.56061025075532,0.168586261146168,0.577060561984755,1.62259319120918,45.1432360841369,0.199623389964053,27.82166,0.272003962361779,3.42293943801524,1.03971711734167,267.775296618013,1.18410236164485,257.5463,0.727996037638221,312.91853270215,1.34598364977682,0.25,0.25,0.25,0.25,1,4,242.37900340401,69.7104261227214,0.99585669353314,0.985593969968467,381.487,0.995767497982075,0,3.3,0,0,0,0,0,0,0,0,0,0,0,8,100,79.8134236756536,311.989569775038
2028,161.368376358097,248.980747349896,38.8727197856007,76.8633746930333,1031.41282877091,1.26242294715027,0.502489481035092,0.334437936090519,1.37166566931394,112.201359106886,1.48846322991194,68.7114533506725,0.659047720596407,0.665562063909481,1.08653417019255,187.564407230252,0.829409808772174,172.626330929853,0.340952279403593,281.453237721934,1.44224291517791,0.294980181467621,0.911149639783106,1.51919640689826,99.5841808575343,0.440361247752017,49.8184284191731,0.33309831085191,3.08885036021689,1.05335681729514,256.573092724989,1.1345662160299,243.576619538886,0.66690168914809,331.92795573972,1.51322857872573,0.25,0.25,0.25,0.25,1,4,248.808745767819,73.2856071616458,0.990993871300948,0.981363126243532,395.411171229093,0.994534309361689,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-2.50941322176683,5.12954898504667,10.2259224853569,8,100,79.8134236756536,311.989569775038
2033,164.065131962524,251.087600066837,39.8851711061597,79.746850666975,1018.40730008458,1.25555047485651,0.513581993631056,0.339315607474281,1.36632034170218,115.067674078675,1.52648776432771,70.7424483673212,0.666914182311805,0.660684392525719,1.08822414475877,188.201392230903,0.832226556445052,172.943591756662,0.333085817688195,284.49109442665,1.45302430909396,0.286322168729509,0.890359120568705,1.52844026626929,100.754522539773,0.445536498670874,50.099070811012,0.323644206314436,3.10964087943129,1.05190274980489,267.438031326756,1.18261097452692,254.242163903804,0.676355793685564,343.676564867589,1.66420323333586,0.25,0.25,0.25,0.25,1,4,251.465093105537,75.8950989378811,0.986090903349393,0.97692116860565,408.416699915417,0.993256253905804,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-2.64056715629783,5.07081184829675,10.7385813652383,8,100,79.8134236756536,311.989569775038
2038,166.840605231785,253.161210291445,40.8820862729628,82.6574368211279,1004.73976669472,1.24837794334119,0.525487207513364,0.344471723476423,1.36076843540082,118.07264057336,1.5663516498462,72.8860366697208,0.67518668828606,0.655528276523577,1.09002921964387,188.741070502844,0.834613013763577,173.152303719444,0.32481331171394,287.547934056283,1.463929752537,0.277885282385634,0.869828571362403,1.537828918699,101.817886836535,0.450238695591156,50.3187273011038,0.314074713260481,3.1301714286376,1.05047999470871,278.465967436089,1.23137650800238,265.08450312117,0.685925286739519,355.507209568251,1.81776758970647,0.25,0.25,0.25,0.25,1,4,254.135920920084,78.5235744594907,0.981210866283927,0.972469882850918,422.084233305281,0.991784851949099,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-2.77349349666449,5.00496525738135,11.2621860814448,8,100,79.8134236756536,311.989569775038
2043,169.699004581045,255.197835823406,41.8630606340991,85.5941227795124,990.401755362231,1.2408938101099,0.53827972586345,0.34992317509828,1.35500502169472,121.225704206509,1.60818019200355,75.1507115494734,0.683876423974234,0.65007682490172,1.09195888532534,189.175974202119,0.836536157921771,173.244594411406,0.316123576025766,290.624222961873,1.47495637212582,0.26966823799213,0.84957071437366,1.54736011249646,102.776282763951,0.45447672238219,50.4795065284334,0.304414236757754,3.15042928562634,1.04908873356456,289.652112841269,1.28084164298409,276.098773701531,0.695585763242246,367.416629680957,1.97361045341668,0.25,0.25,0.25,0.25,1,4,256.821480183173,81.1702943498872,0.976353624076151,0.968011803283252,436.422244637769,0.990102632628343,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-2.90807959565943,4.93136144885007,11.7964447157448,8,100,79.8134236756536,311.989569775038
2048,172.644793739026,257.193600132461,42.8277225097972,88.5556931840106,975.385403358925,1.23308675867794,0.552041794142421,0.355687453924172,1.3490258204354,124.536918872818,1.65210676576681,77.5455964359557,0.692992083176104,0.644312546075828,1.09402344234218,189.498354949152,0.837961725585152,173.21233496008,0.307007916823896,293.720659432695,1.48609918156506,0.261670832038776,0.829600955792673,1.55702969139196,103.632189692877,0.458261542821901,50.5837907921818,0.294688860538451,3.17039904420733,1.04772932433231,300.990613103241,1.33098049114253,287.278981424953,0.705311139461549,379.400854657373,2.13143049246983,0.25,0.25,0.25,0.25,1,4,259.522218113482,83.8343578582191,0.971519039748412,0.963549148651896,451.438596641075,0.988190883164166,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-3.04419933206047,4.84931650759991,12.340999745349,8,100,79.8134236756536,311.989569775038
2053,175.682696433765,259.144512868811,43.7757388579247,91.5407211769437,959.683533330482,1.22494585886862,0.566864056157338,0.361782538778473,1.34282736207379,128.016951232176,1.69827287504604,80.0804646019111,0.702539143792934,0.638217461221527,1.09623405177601,189.700225066273,0.83885439524306,173.047192576202,0.297460856207066,296.838219029735,1.49735111851464,0.253893679734092,0.809936867336101,1.56683159418775,104.388559256562,0.461606209032515,50.63422599422,0.284926087546278,3.1900631326639,1.04640225984005,312.47451735733,1.38176231575411,298.61796877722,0.715073912453722,391.455174717601,2.2909369734576,0.25,0.25,0.25,0.25,1,4,262.238818530834,86.514696418587,0.966706974747116,0.959083862534814,467.140466669518,0.986029430074692,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-3.18171117106634,4.75811228598212,12.895426483137,8,100,79.8134236756536,311.989569775038
2058,178.817696919742,261.046497737062,44.7068207314828,94.5475647482324,943.289726749385,1.2164607618999,0.582846342759074,0.368226736237144,1.33640717448963,131.67707250738,1.7468280438829,82.7657491052007,0.71251903999214,0.631773263762856,1.09860277975789,189.773415035256,0.839178041285903,172.740701672973,0.28748096000786,299.978205525935,1.50870309421559,0.246337977361916,0.790597676830267,1.57675786841296,105.048809111611,0.464525833891543,50.6337063693754,0.275154527323712,3.20940232316973,1.04510812926566,324.095763794994,1.43315146750146,310.10739914799,0.724845472676288,403.574121521121,2.45185033219758,0.25,0.25,0.25,0.25,1,4,264.972247432542,89.210069382898,0.96191728814355,0.954617646655748,483.534273250615,0.983596368506583,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-3.32045895683549,4.65699957366843,13.4592325148086,8,100,79.8134236756536,311.989569775038
2063,182.055036182927,262.895427658798,45.6207283164012,97.5743657794111,926.198394236702,1.20762192479383,0.60009849638447,0.37503847278179,1.32976398842061,135.52913618578,1.79792952064056,85.6125413136435,0.722928245597383,0.62496152721821,1.10114263505744,189.709647802746,0.838896062583743,172.284354236134,0.277071754402617,303.142306895138,1.52014405610098,0.239005289469218,0.771603774416834,1.5867986985331,105.616808581336,0.467037527546666,50.5853543968864,0.26540353897687,3.22839622558317,1.0438475828423,335.845180247164,1.48510738705296,321.737757281276,0.73459646102313,415.751457799327,2.61390260499192,0.25,0.25,0.25,0.25,1,4,267.723803318788,91.9190618039759,0.957149835599934,0.950151988154855,500.625605763298,0.980867726783192,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-3.4602727945356,4.54520258626834,14.0318581032764,8,100,79.8134236756536,311.989569775038
2068,185.400202753707,264.687168095028,46.5172754111414,100.619052159706,908.404840882128,1.19842086534476,0.618741218404377,0.382236030916839,1.32289796001718,139.585538251592,1.85174175044562,88.6325746014566,0.73375728693829,0.617763969083161,1.10386759632777,189.500632322037,0.837971796128048,171.669711976733,0.26624271306171,306.332655901096,1.53166106813615,0.231897358161713,0.75297623336983,1.59694245322162,106.096855938668,0.469160296960791,50.4924960512636,0.255702838043399,3.24702376663017,1.04262129947907,347.712501567863,1.53758468193309,333.498367759791,0.744297161956601,427.980177466821,2.77683774531043,0.25,0.25,0.25,0.25,1,4,270.495171925628,94.64008460859,0.952404468023239,0.945688181626292,518.419159117872,0.977817048892148,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-3.6009700736575,4.42192498390252,14.6126776515801,8,100,79.8134236756536,311.989569775038
2073,188.858917128612,266.417629038006,47.3963332015062,103.679343240165,889.905324394642,1.18885044626861,0.63890692407959,0.389837223024974,1.31581090653165,143.859156684606,1.90843557257799,91.8381896784818,0.744989717593282,0.610162776975026,1.10679262531425,189.138178130021,0.836369023690952,170.888542084674,0.255010282406718,309.551894335625,1.54323941241425,0.225015933007678,0.734736347323141,1.60717575519399,106.493647364538,0.470914908645987,50.358631739862,0.246082078119454,3.26526365267686,1.0414299571832,359.686404936878,1.59053328263087,345.377432688549,0.753917921880546,440.252517359722,2.94041185024107,0.25,0.25,0.25,0.25,1,4,273.288484574312,97.3713774160244,0.947681029798054,0.941227346473499,536.918675605358,0.974414871509724,1,3.3,0.05,2,0,0.16,0.12,0.05,0,0.12,-3.74235703073601,4.28635759495003,15.2010022793243,8,100,79.8134236756536,311.989569775038
