"Run.ID","Future.ID","time","S","Delta.Temp","CO2.Concentration","alfa","epsilon","size.factor","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","lambda.S","sigma.utility","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Cost.S.Damage","policy.status","Policy.Duration","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","rho","Region","Ace","Agg.demand.ce.tech","Agg.demand.re.tech","Are","Consumption","Gamma.ce.t","Gamma.re.t","L","Labor.ce","labor.growth","Labor.re","Price.ce","Price.re","Profits.ce","Profits.re","RelLabor","RelPrice","sce","sre","Utility.Consumer","Y","Yce","Yce.0","Yre","Yre.0","policy.class"
1,1,2023,1045.337,1.34598364977682,381.487,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.995767497982075,0,100,3.3,0,0,0,0,0,0,0,0,0,0.001,"N",246.506398106631,227.093790946262,86.669070044181,120.124979789264,279.594085428584,0.25,0.25,1,0.72377524296344,0,0.27622475703656,1.17543370055001,1.90269291002036,1.00420874356437,0.383250627735368,0.381644384388694,1.61871563587981,0.650436425685692,0.349563574314308,0.996408184061921,313.762860990443,193.2,193.2,45.55074,45.55074,"P0"
1,1,2023,1045.337,1.34598364977682,381.487,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.995767497982075,0,100,3.3,0,0,0,0,0,0,0,0,0,0.001,"S",75.1125940894952,285.263423725222,64.7040163861718,24.8245156001451,77.9639964708158,0.25,0.25,4,3.26045672859651,0,0.739543271403495,1.10761996474118,2.32567058853324,1.26143485971293,0.286121160459652,0.226821986293263,2.0997008564004,0.726177362838094,0.273822637161906,0.98711904805174,349.967440111394,257.5463,257.54634,27.82166,27.82166,"P0"
1,1,2028,1030.59313099382,1.52288967159073,396.230869006178,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.994457323253897,1,100,3.3,0,0,0,0,0,0,0,0,-3.0016013627417,0.001,"N",250.557978438613,230.990613290789,87.2625003700608,121.17435444515,283.595349583183,0.25,0.25,1,0.725807866052638,0,0.274192133947362,1.17378664704972,1.90973234699086,1.02144049197187,0.385874776636409,0.377775092792225,1.62698421539461,0.653750397819705,0.346249602180295,0.991486836871222,318.25311366085,196.790970378967,193.2,45.6935761220986,45.55074,"P0"
1,1,2028,1030.59313099382,1.52288967159073,396.230869006178,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.994457323253897,1,100,3.3,0,0,0,0,0,0,0,0,-3.0016013627417,0.001,"S",78.252614624362,297.474056366708,66.0955202459025,25.4670508648031,80.9942124298743,0.25,0.25,4,3.27281571949208,0,0.727184280507919,1.10552665823579,2.3453504983294,1.31543027725358,0.292274390527381,0.222189192069993,2.12147801308757,0.73558687192188,0.26441312807812,0.982661480544823,363.569576612611,269.079044047133,257.54634,28.1815107349552,27.82166,"P0"
1,1,2033,1014.9566906575,1.70345284049062,411.867309342497,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.992897073273177,1,100,3.3,0,0,0,0,0,0,0,0,-3.18163087760063,0.001,"N",254.697485485219,234.976397933035,87.8485246658381,122.222649772004,287.669288527855,0.25,0.25,1,0.727875642442282,0,0.272124357557718,1.17211819271789,1.91697430483688,1.03906563165988,0.388466176072336,0.373861057700246,1.63547867164473,0.657145535902917,0.342854464097083,0.986588517840374,322.824922598873,200.47159014585,193.2,45.8266573757303,45.55074,"P0"
1,1,2033,1014.9566906575,1.70345284049062,411.867309342497,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.992897073273177,1,100,3.3,0,0,0,0,0,0,0,0,-3.18163087760063,0.001,"S",81.45033439666,309.931754032511,67.4123217911289,26.0897486350686,84.0628264916114,0.25,0.25,4,3.28540209204042,0,0.714597907959584,1.10340699034465,2.36591493315041,1.37051821633176,0.298097286960372,0.217506986341443,2.14419063306044,0.74505703696592,0.25494296303408,0.978192969541099,377.34407582364,280.886161447739,257.54634,28.493130013497,27.82166,"P0"
1,1,2038,998.401972160411,1.88729721244571,428.422027839589,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.991058632989188,1,100,3.3,0,0,0,0,0,0,0,0,-3.3668643846212,0.001,"N",258.92759015928,239.053925473968,88.4266422450277,123.26942922076,291.817933894397,0.25,0.25,1,0.729978963756699,0,0.270021036243301,1.17042833606584,1.9244259308106,1.05709645844589,0.391022612007513,0.369902489865857,1.6442065451689,0.660623471069554,0.339376528930446,0.981713065276233,327.480567718996,204.244820556463,193.2,45.9496210424587,45.55074,"P0"
1,1,2038,998.401972160411,1.88729721244571,428.422027839589,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.991058632989188,1,100,3.3,0,0,0,0,0,0,0,0,-3.3668643846212,0.001,"S",84.7069896346907,322.641597180322,68.6543569623174,26.6924055169441,87.1709561841266,0.25,0.25,4,3.2981848523045,0,0.701815147695503,1.10126667976744,2.38736392399079,1.42672114273139,0.303589566487368,0.212788299966005,2.16783451987755,0.754569129560695,0.245430870439305,0.973716360996585,391.29595414264,292.973176350397,257.54634,28.7573906401135,27.82166,"P0"
1,1,2043,980.902185355194,2.0740683212269,445.921814644806,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.988910945121093,1,100,3.3,0,0,0,0,0,0,0,0,-3.55748525868527,0.001,"N",263.251115101749,243.226133806371,88.9963285711847,124.314233620701,296.04343622464,0.25,0.25,1,0.732118268180059,0,0.267881731819941,1.16871704538338,1.93209488620307,1.07554596369177,0.393541764941779,0.365899532169653,1.65317592811293,0.664185866904778,0.335814133095222,0.976860311690948,332.222462377556,208.113790046234,193.2,46.0620900177834,45.55074,"P0"
1,1,2043,980.902185355194,2.0740683212269,445.921814644806,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.988910945121093,1,100,3.3,0,0,0,0,0,0,0,0,-3.55748525868527,0.001,"S",88.0238072756004,335.608600977937,69.821690284225,27.2748452530158,90.3197331359282,0.25,0.25,4,3.31113494192198,0,0.688865058078025,1.09911100290362,2.40969966657384,1.48406123352444,0.308751514436843,0.208044996703809,2.1924079189526,0.764103431036702,0.235896568963298,0.969234123507156,405.430291262162,305.345502038765,257.54634,28.9752666080163,27.82166,"P0"
